id,item_id,title,pros,cons,body,verified,date,eggs,author,helpful,not_helpful
1,55,autem eos temporibus,Dolor non dolores et ut.,Cum quas occaecati quam distinctio deserunt voluptatem.,Et quaerat pariatur nulla. Voluptatibus qui qui labore. Fugiat ab aut. Officia placeat qui officia doloribus debitis est sit.,F,2017-12-04T14:25:36.353Z,4,Okey Leuschke,0,0
2,62,et consequatur soluta,Dolorem ut qui temporibus illo doloremque.,Porro maiores aliquam ducimus dolores possimus quas nihil est.,Quia facere aliquam animi fuga placeat et. Qui voluptas velit nihil est eum. Porro quae autem ut et quod earum laboriosam. Consequatur assumenda a delectus.,T,2017-05-09T01:40:03.154Z,3,Mr. Evert Considine,0,0
3,71,et omnis atque,Magnam sint unde maxime qui error sapiente.,Minus illo omnis eius minus ducimus et quod.,Ab quod sint voluptatum id nulla illo. Ducimus saepe itaque et molestiae illum aliquid. Et ea molestiae voluptatum fuga aliquid. Qui et amet ut. Ipsam distinctio sed adipisci modi quia voluptatem eligendi quos.,T,2017-03-29T05:46:50.661Z,3,Stephany Grady,0,0
4,55,necessitatibus est reiciendis,Dignissimos commodi dicta quidem totam.,Ipsum eos consequatur.,Dolor aut voluptatem iure est rerum voluptates. Cumque aut veritatis et nam aut et magni eaque. Asperiores dicta enim asperiores nostrum.,F,2017-08-01T04:55:12.866Z,4,Shannon Murray,0,0
5,42,repellat ullam sit,Consectetur similique vel sit.,Assumenda est nesciunt eum libero rerum harum ab non.,Repudiandae perspiciatis eos et sint est nihil. Eum rerum enim omnis est. Dignissimos voluptas aperiam. Perferendis corrupti sit tenetur error dolorem. Voluptas sequi enim nam.,T,2016-12-02T02:42:28.509Z,4,Laura Russel,0,0
6,39,dolorum ratione sit,Consectetur quidem rerum modi qui iure dolorem modi occaecati.,Necessitatibus quas similique autem tenetur sit aperiam iste dolorem sed.,Omnis nam porro consectetur totam. Sed voluptates magni et quae corrupti quis rem id ut. Nostrum est ea ipsam vel vitae minus mollitia deserunt. Dolorum rerum blanditiis rem placeat ipsum qui natus.,F,2018-11-10T14:39:40.448Z,2,Dr. Gillian Leuschke,0,0
7,62,quia quia explicabo,Dolorem expedita error quae provident et dolore.,Aliquid molestiae nulla accusantium accusantium quod.,Est eligendi odio. Exercitationem cumque assumenda quo voluptas omnis aut voluptatem qui. Error adipisci esse.,F,2017-05-23T08:02:25.802Z,4,Justus Grant,0,0
8,68,doloribus minima veritatis,Aliquid nisi est corrupti rerum placeat qui aut.,Asperiores impedit minus.,Soluta aliquid inventore voluptatem alias similique laboriosam aperiam. Similique architecto eaque voluptatibus molestias eos necessitatibus autem. Repudiandae earum aut.,F,2017-10-15T15:30:13.587Z,5,Alysson Bartell,0,0
9,27,quia unde optio,Tenetur aut ea.,Sapiente veritatis incidunt ut aut nostrum aperiam.,Architecto consequatur debitis deleniti saepe ratione modi omnis ut. Pariatur eligendi debitis omnis laborum tempore. Iusto dignissimos eum ipsa in vel commodi. Voluptas aut dicta omnis et dolor ducimus deleniti.,T,2018-04-02T04:52:03.463Z,1,Imani Klocko,0,0
10,30,ut et labore,Ullam labore qui officiis.,Distinctio et voluptatem doloribus ipsa quia qui autem sapiente temporibus.,Dolores quae sint id voluptates saepe. Est reprehenderit consequatur iste eos similique cupiditate. Quis velit possimus ab consequatur ut cupiditate eum quaerat. Et cum eum aperiam dignissimos occaecati ab ipsum. Commodi delectus aperiam ut nesciunt ut reprehenderit vel possimus qui.,T,2016-12-23T03:20:21.537Z,2,Mrs. Madie Koepp,0,0
